group_id,pool,label,src_class,path
454,A,low,low,data/images/train/low/00018.jpg
542,A,low,low,data/images/train/low/00106.jpg
648,A,low,low,data/images/train/low/00212.jpg
671,A,low,low,data/images/train/low/00235.jpg
812,A,low,low,data/images/train/low/00377.jpg
1074,A,low,low,data/images/train/low/00639.jpg
1125,A,low,low,data/images/train/low/00691.jpg
1255,A,low,low,data/images/train/low/00821.jpg
1305,A,low,low,data/images/train/low/00872.jpg
1412,A,low,low,data/images/train/low/00979.jpg
1465,A,low,low,data/images/train/low/01032.jpg
1477,A,low,low,data/images/train/low/01044.jpg
1487,A,low,low,data/images/train/low/01054.jpg
1859,A,low,low,data/images/train/low/01430.jpg
1937,A,low,low,data/images/train/low/01509.jpg
1979,A,low,low,data/images/train/low/01551.jpg
2268,A,low,low,data/images/train/low/01841.jpg
2334,A,low,low,data/images/train/low/01908.jpg
2365,A,low,low,data/images/train/low/01939.jpg
2517,A,low,low,data/images/train/low/02091.jpg
2534,A,low,low,data/images/train/low/02108.jpg
2604,A,low,low,data/images/train/low/02178.jpg
2644,A,low,low,data/images/train/low/02218.jpg
2703,A,low,low,data/images/train/low/02278.jpg
2715,A,low,low,data/images/train/low/02291.jpg
2757,A,low,low,data/images/train/low/02333.jpg
2762,A,low,low,data/images/train/low/02338.jpg
2775,A,low,low,data/images/train/low/02351.jpg
3016,A,low,low,data/images/train/low/02595.jpg
3018,A,low,low,data/images/train/low/02597.jpg
3050,A,low,low,data/images/train/low/02629.jpg
3242,A,low,low,data/images/train/low/02821.jpg
3284,A,low,low,data/images/train/low/02863.jpg
3414,A,low,low,data/images/train/low/02996.jpg
3475,A,low,low,data/images/train/low/03058.jpg
3506,A,low,low,data/images/train/low/03090.jpg
3605,A,low,low,data/images/train/low/03190.jpg
3605,A,low,low,data/images/train/low/10435.jpg
3605,A,low,low,data/images/train/low/17470.jpg
3745,A,low,low,data/images/train/low/03330.jpg
3785,A,low,low,data/images/train/low/03372.jpg
3794,A,low,low,data/images/train/low/03382.jpg
3922,A,low,low,data/images/train/low/03511.jpg
4028,A,low,low,data/images/train/low/03617.jpg
4084,A,low,low,data/images/train/low/03673.jpg
4091,A,low,low,data/images/train/low/03680.jpg
4101,A,low,low,data/images/train/low/03691.jpg
4189,A,low,low,data/images/train/low/03781.jpg
4401,A,low,low,data/images/train/low/03996.jpg
4526,A,low,low,data/images/train/low/04122.jpg
4556,A,low,low,data/images/train/low/04152.jpg
4643,A,low,low,data/images/train/low/04241.jpg
4968,A,low,low,data/images/train/low/04567.jpg
5008,A,low,low,data/images/train/low/04607.jpg
5011,A,low,low,data/images/train/low/04610.jpg
5117,A,low,low,data/images/train/low/04718.jpg
5444,A,low,low,data/images/train/low/05053.jpg
5530,A,low,low,data/images/train/low/05139.jpg
5618,A,low,low,data/images/train/low/05227.jpg
5667,A,low,low,data/images/train/low/05277.jpg
5678,A,low,low,data/images/train/low/05288.jpg
5729,A,low,low,data/images/train/low/05340.jpg
5765,A,low,low,data/images/train/low/05377.jpg
5790,A,low,low,data/images/train/low/05402.jpg
5846,A,low,low,data/images/train/low/05458.jpg
6043,A,low,low,data/images/train/low/05657.jpg
6290,A,low,low,data/images/train/low/05908.jpg
6736,A,low,low,data/images/train/low/06364.jpg
6951,A,low,low,data/images/train/low/06581.jpg
6953,A,low,low,data/images/train/low/06583.jpg
7027,A,low,low,data/images/train/low/06659.jpg
