group_id,pool,label,src_class,n_files,path,provenance
454,A,low,low,1,data/images/train/low/00018.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
542,A,low,low,1,data/images/train/low/00106.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
648,A,low,low,1,data/images/train/low/00212.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
671,A,low,low,1,data/images/train/low/00235.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
812,A,low,low,1,data/images/train/low/00377.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1074,A,low,low,1,data/images/train/low/00639.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1125,A,low,low,1,data/images/train/low/00691.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1255,A,low,low,1,data/images/train/low/00821.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1305,A,low,low,1,data/images/train/low/00872.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1412,A,low,low,1,data/images/train/low/00979.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1465,A,low,low,1,data/images/train/low/01032.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1477,A,low,low,1,data/images/train/low/01044.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1487,A,low,low,1,data/images/train/low/01054.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1859,A,low,low,1,data/images/train/low/01430.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1937,A,low,low,1,data/images/train/low/01509.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
1979,A,low,low,1,data/images/train/low/01551.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2268,A,low,low,1,data/images/train/low/01841.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2334,A,low,low,1,data/images/train/low/01908.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2365,A,low,low,1,data/images/train/low/01939.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2517,A,low,low,1,data/images/train/low/02091.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2534,A,low,low,1,data/images/train/low/02108.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2604,A,low,low,1,data/images/train/low/02178.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2644,A,low,low,1,data/images/train/low/02218.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2703,A,low,low,1,data/images/train/low/02278.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2715,A,low,low,1,data/images/train/low/02291.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2757,A,low,low,1,data/images/train/low/02333.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2762,A,low,low,1,data/images/train/low/02338.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
2775,A,low,low,1,data/images/train/low/02351.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3016,A,low,low,1,data/images/train/low/02595.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3018,A,low,low,1,data/images/train/low/02597.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3050,A,low,low,1,data/images/train/low/02629.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3242,A,low,low,1,data/images/train/low/02821.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3284,A,low,low,1,data/images/train/low/02863.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3414,A,low,low,1,data/images/train/low/02996.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3475,A,low,low,1,data/images/train/low/03058.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3506,A,low,low,1,data/images/train/low/03090.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3605,A,low,low,3,data/images/train/low/03190.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3605,A,low,low,3,data/images/train/low/10435.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3605,A,low,low,3,data/images/train/low/17470.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3745,A,low,low,1,data/images/train/low/03330.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3785,A,low,low,1,data/images/train/low/03372.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3794,A,low,low,1,data/images/train/low/03382.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
3922,A,low,low,1,data/images/train/low/03511.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4028,A,low,low,1,data/images/train/low/03617.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4084,A,low,low,1,data/images/train/low/03673.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4091,A,low,low,1,data/images/train/low/03680.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4101,A,low,low,1,data/images/train/low/03691.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4189,A,low,low,1,data/images/train/low/03781.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4401,A,low,low,1,data/images/train/low/03996.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4526,A,low,low,1,data/images/train/low/04122.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4556,A,low,low,1,data/images/train/low/04152.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4643,A,low,low,1,data/images/train/low/04241.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
4968,A,low,low,1,data/images/train/low/04567.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5008,A,low,low,1,data/images/train/low/04607.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5011,A,low,low,1,data/images/train/low/04610.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5117,A,low,low,1,data/images/train/low/04718.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5444,A,low,low,1,data/images/train/low/05053.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5530,A,low,low,1,data/images/train/low/05139.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5618,A,low,low,1,data/images/train/low/05227.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5667,A,low,low,1,data/images/train/low/05277.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5678,A,low,low,1,data/images/train/low/05288.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5729,A,low,low,1,data/images/train/low/05340.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5765,A,low,low,1,data/images/train/low/05377.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5790,A,low,low,1,data/images/train/low/05402.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
5846,A,low,low,1,data/images/train/low/05458.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
6043,A,low,low,1,data/images/train/low/05657.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
6290,A,low,low,1,data/images/train/low/05908.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
6736,A,low,low,1,data/images/train/low/06364.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
6951,A,low,low,1,data/images/train/low/06581.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
6953,A,low,low,1,data/images/train/low/06583.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
7027,A,low,low,1,data/images/train/low/06659.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
7301,A,low,low,2,data/images/train/low/06938.jpg,auto:Mendeley Concrete Crack 'Negative' split: crack-free by dataset definition
