group_id,pool,label,src_class,n_files,path
19925,B,low,moderate,1,data/images/train/moderate/00007.jpg
19928,B,low,moderate,1,data/images/train/moderate/00010.jpg
19946,B,low,moderate,2,data/images/train/moderate/00028.jpg
19946,B,low,moderate,2,data/images/train/moderate/19519.jpg
19954,B,low,moderate,1,data/images/train/moderate/00036.jpg
19972,B,low,moderate,1,data/images/train/moderate/00054.jpg
19977,B,moderate,moderate,2,data/images/train/moderate/00059.jpg
19977,B,moderate,moderate,2,data/images/train/moderate/05577.jpg
20025,B,high,moderate,1,data/images/train/moderate/00107.jpg
20036,B,moderate,moderate,2,data/images/train/moderate/00118.jpg
20036,B,moderate,moderate,2,data/images/train/moderate/05668.jpg
20047,B,moderate,moderate,1,data/images/train/moderate/00129.jpg
20071,B,moderate,moderate,2,data/images/train/moderate/00153.jpg
20071,B,moderate,moderate,2,data/images/train/moderate/05701.jpg
20077,B,high,moderate,2,data/images/train/moderate/00159.jpg
20077,B,high,moderate,2,data/images/train/moderate/05707.jpg
20107,B,high,moderate,1,data/images/train/moderate/00189.jpg
20160,B,moderate,moderate,1,data/images/train/moderate/00242.jpg
20238,B,low,moderate,2,data/images/train/moderate/00320.jpg
20238,B,low,moderate,2,data/images/train/moderate/05864.jpg
20263,B,moderate,moderate,1,data/images/train/moderate/00345.jpg
20306,B,low,moderate,1,data/images/train/moderate/00388.jpg
20319,B,moderate,moderate,2,data/images/train/moderate/00401.jpg
20319,B,moderate,moderate,2,data/images/train/moderate/05914.jpg
20325,B,moderate,moderate,2,data/images/train/moderate/00407.jpg
20325,B,moderate,moderate,2,data/images/train/moderate/05920.jpg
20328,B,moderate,moderate,2,data/images/train/moderate/00410.jpg
20328,B,moderate,moderate,2,data/images/train/moderate/05923.jpg
20353,B,low,moderate,1,data/images/train/moderate/00435.jpg
20371,B,low,moderate,2,data/images/train/moderate/00453.jpg
20371,B,low,moderate,2,data/images/train/moderate/05993.jpg
20407,B,moderate,moderate,2,data/images/train/moderate/00489.jpg
20407,B,moderate,moderate,2,data/images/train/moderate/06028.jpg
20433,B,moderate,moderate,2,data/images/train/moderate/00515.jpg
20433,B,moderate,moderate,2,data/images/train/moderate/06055.jpg
20439,B,moderate,moderate,1,data/images/train/moderate/00521.jpg
20444,B,moderate,moderate,2,data/images/train/moderate/00526.jpg
20444,B,moderate,moderate,2,data/images/train/moderate/06066.jpg
20509,B,high,moderate,2,data/images/train/moderate/00591.jpg
20509,B,high,moderate,2,data/images/train/moderate/06129.jpg
20545,B,moderate,moderate,2,data/images/train/moderate/00627.jpg
20545,B,moderate,moderate,2,data/images/train/moderate/06166.jpg
20553,B,low,moderate,1,data/images/train/moderate/00635.jpg
20570,B,low,moderate,1,data/images/train/moderate/00652.jpg
20572,B,low,moderate,1,data/images/train/moderate/00654.jpg
20604,B,moderate,moderate,2,data/images/train/moderate/00686.jpg
20604,B,moderate,moderate,2,data/images/train/moderate/06198.jpg
20630,B,moderate,moderate,1,data/images/train/moderate/00712.jpg
20641,B,low,moderate,1,data/images/train/moderate/00723.jpg
20646,B,low,moderate,1,data/images/train/moderate/00728.jpg
20669,B,low,moderate,1,data/images/train/moderate/00751.jpg
