group_id,pool,label,src_class,n_files,path
0,C,moderate,high,2,data/images/train/high/image1018_jpg.rf.a5e83d6bf462e304d69ec86bfd1caa22.jpg
0,C,moderate,high,2,data/images/train/high/image704_jpg.rf.c8b88c116ccab347c6186b3805cada1d.jpg
1,C,moderate,high,1,data/images/train/high/image101_jpg.rf.71905c37d7409efd7b6fb3619023e2e1.jpg
2,C,moderate,high,1,data/images/train/high/image1023_jpg.rf.759e296d3a790c9bfc37973f12199e96.jpg
3,C,moderate,high,1,data/images/train/high/image1033-2-_jpg.rf.941f3c6d45d32c98f8f001942d682cff.jpg
4,C,high,high,1,data/images/train/high/image1033_jpg.rf.ad8ac1bba89237f1b4278b0b3851c8b9.jpg
5,C,high,high,2,data/images/train/high/image1035_jpg.rf.d9ed93af9c3f55043d37d88c196f9f45.jpg
5,C,high,high,2,data/images/train/high/image1695_jpg.rf.c43db6c5a1add3d402ad5021940b12dd.jpg
6,C,high,high,2,data/images/train/high/image1040_jpg.rf.f8a73085b1f3224fcf5ee70f9d13a2cb.jpg
6,C,high,high,2,data/images/train/high/image2047_jpg.rf.277c045175539c2aa64405babc2e8b1a.jpg
7,C,junk,high,1,data/images/train/high/image1041_jpg.rf.fd1f976c468bb10331a01f10104fdaf5.jpg
8,C,high,high,1,data/images/train/high/image1043_jpg.rf.5203416b343879cee31c7a572c112b49.jpg
9,C,high,high,1,data/images/train/high/image1064_jpg.rf.511841bff6714cb4fa77f4aa6488fe55.jpg
10,C,moderate,high,1,data/images/train/high/image1086_jpg.rf.c5c7db048f981da23a01cf3c71baf497.jpg
11,C,moderate,high,1,data/images/train/high/image1089_jpg.rf.dddb0f91fee8f94476c5fe78b4c3e6ed.jpg
12,C,moderate,high,1,data/images/train/high/image108_jpg.rf.0524e2d7f86f725c767d79eed9e30354.jpg
13,C,high,high,1,data/images/train/high/image1092_jpg.rf.c5324cd15bfcfa7e8f088598773b4221.jpg
14,C,high,high,1,data/images/train/high/image1094_jpg.rf.d650a15977c9ac6b8c111529303cf7b8.jpg
15,C,moderate,high,1,data/images/train/high/image1096_jpg.rf.774266c2629a0a076a5c8f6df9bcd1a6.jpg
16,C,high,high,1,data/images/train/high/image1098_jpg.rf.7cf1d4866cbf04f00c2c54c27e2521b9.jpg
