latitude,longitude,distance_to_fault_km,liquefaction_tier,year_built,number_of_stories,material,building_use,soil_classification,previous_retrofit,structural_system,foundation_type,label,assessed_damage
14.810406769861984,121.11935069174262,2.6898980460095894,,1954.0,3,wood,residential,E,False,unknown,shallow,UNSAFE,UNSAFE
14.835739033952649,121.13058902467603,1.97587356789867,,1970.0,7,concrete,institutional,E,False,unknown,shallow,UNSAFE,UNSAFE
14.811534517338297,121.03359890038986,11.656249555880423,,1970.0,5,wood,mixed,E,False,wood_frame,mat,UNSAFE,UNSAFE
14.85822018834865,121.06582134474729,9.377789910646944,,,5,concrete,industrial,A,False,braced_frame,shallow,SAFE,SAFE
14.789665844697502,121.07546296459071,7.0229623142383515,,,2,concrete,institutional,D,False,unknown,shallow,UNSAFE,UNSAFE
14.773650361297191,121.0902236505545,5.2019705167256705,,1986.0,2,wood,residential,F,False,unknown,shallow,UNSAFE,UNSAFE
14.829300005944802,121.12647741162444,2.3121971607188287,,1968.0,1,mixed,mixed,D,False,moment_frame,shallow,UNSAFE,UNSAFE
14.802140134855293,121.11724377549861,2.5950229401662623,,1972.0,1,mixed,residential,C,False,unknown,shallow,RESTRICTED,RESTRICTED
14.786471007472072,121.11993854666231,2.235600351252299,,2022.0,1,concrete,residential,D,False,unknown,shallow,RESTRICTED,RESTRICTED
14.83433574877161,121.03707440273823,11.882991961601546,,2010.0,4,mixed,commercial,E,True,unknown,shallow,RESTRICTED,RESTRICTED
14.803701658697094,121.05985009450933,8.756352981082184,,1973.0,3,mixed,industrial,E,False,moment_frame,unknown,UNSAFE,UNSAFE
14.785964601608756,121.07893391979773,6.627728758479636,,2017.0,1,wood,residential,E,False,unknown,shallow,UNSAFE,UNSAFE
14.81401580604556,121.03383894086308,11.66905159601743,,1988.0,2,wood,residential,E,False,wood_frame,unknown,UNSAFE,UNSAFE
14.83303870827428,121.04671651151116,10.858908404415692,,2002.0,3,concrete,commercial,F,False,unknown,mat,UNSAFE,UNSAFE
14.848999579159683,121.07463148974347,8.169662821883149,,1977.0,4,wood,mixed,B,False,braced_frame,shallow,RESTRICTED,RESTRICTED
14.798008474458745,121.10956636894485,3.3802813263698512,,2010.0,3,mixed,residential,C,False,unknown,mat,SAFE,SAFE
14.795652671346078,121.06803608052357,7.824021534170373,,2000.0,2,concrete,residential,E,False,shear_wall,deep,SAFE,SAFE
14.781092097121444,121.10720700878983,3.5583250794352583,,1976.0,2,concrete,residential,F,False,moment_frame,shallow,UNSAFE,UNSAFE
